;Geo.;Classe;Subclasses;Setor;Ativo;Ticker;Qnt.;Cotação;Cotação USD;Total;% Atual;% Ideal - Ref.;Variação
31;BR;RV;Acoes;SD;Raia Drogasil;RADL3;0.0;15.2;;0.0;0.0;0.0110071091046312;-0.0110071091046312
32;BR;RV;Acoes;UTL;Eletrobras;ELET3;105.0;44.8;;4704.0;0.015858972663862;0.0135970171292503;0.0022619555346117
33;BR;RV;Acoes;UTL;Taesa;TAEE11;0.0;36.2;;0.0;0.0;0.0123020631169407;-0.0123020631169407
34;BR;RV;Acoes;MAT;CSN;CSNA3;195.0;12.9;;2515.5;0.0084807070016889;0.011654586110786;-0.003173879109097
35;BR;RV;Acoes;CC;SBF;SBFG3;0.0;16.85;;0.0;0.0;0.0097121550923216;0.0048560775461608
36;BR;RV;Acoes;COM;Tim;TIMS3;142.0;15.8;;2243.6;0.0075640287118859;0.0103596320984764;-0.0027956033865905
37;BR;RV;Acoes;BI;Suzano;SUZB3;0.0;52.4;;0.0;0.0;0.0142444941354051;-0.0142444941354051
38;BR;RV;FIIs;HIB;Btg Pactual Terras Agri;BTCR11;0.0;95.5;;0.0;0.0;0.0084172010800121;-0.0084172010800121
39;BR;RV;FIIs;HIB;Vinci Offices;VINO11;41.0;78.9;;3234.9;0.010906077948624;0.011654586110786;-0.0007485081621619
40;BR;RV;FIIs;HIB;Kinea Renda Imobiliaria;KNRI11;0.0;142.9;;0.0;0.0;0.0155394481477146;-0.0155394481477146
41;BR;RV;FIIs;INF;Vinci Logistica;VILG11;34.0;98.2;;3338.8;0.0112563643575748;0.0097121550923216;0.0015442092652531
42;BR;RV;FIIs;LAJ;CSHG Real Estate;HGRE11;0.0;115.4;;0.0;0.0;0.0110071091046312;-0.0110071091046312
43;BR;RV;FIIs;LOG;CSHG Logistica;HGLG11;49.0;95.8;;4694.2;0.0158259331391647;0.0123020631169407;0.0035238700222239
44;BR;RV;FIIs;LOG;Bresco Logistica;BRCO11;0.0;108.2;;0.0;0.0;0.0129495401230955;-0.0129495401230955
45;BR;RV;FIIs;LOG;XP Log;XPLG11;64.0;89.5;;5728.0;0.0193112660345517;0.0103596320984764;0.0089516339360752
46;BR;RV;FIIs;LOG;Patria Renda Imobiliaria;PATC11;0.0;125.6;;0.0;0.0;0.011654586110786;-0.011654586110786
47;BR;RV;FIIs;LOG;Hedge Logistica;HGBS11;32.0;298.5;;9552.0;0.0322034240827403;0.0142444941354051;0.0179589299473352
48;BR;RV;FIIs;SHO;Iguatemi;IGTI11;0.0;55.8;;0.0;0.0;0.0090646780861668;-0.0090646780861668
49;BR;RV;FIIs;REC;Capitania Securities;CPTS11;488.0;98.4;;48019.2;0.1618909821727308;0.0097121550923216;0.1521788270804091
50;BR;RV;FIIs;REC;Kinea Rendimentos Imobiliarios;KNCR11;0.0;105.3;;0.0;0.0;0.0123020631169407;-0.0123020631169407
51;BR;RV;FIIs;REC;Victoria Fundo de Fundos;VGIR11;0.0;9.95;;0.0;0.0;0.0071222470677025;-0.0071222470677025
52;BR;RV;FIIs;REC;Maxi Renda;MXRF11;0.0;9.85;;0.0;0.0;0.0103596320984764;-0.0103596320984764
53;BR;RV;FIIs;REC;RBR Rendimento High Grade;RBRR11;0.0;88.45;;0.0;0.0;0.0084172010800121;-0.0084172010800121
54;BR;RV;Criptoativos;-;Hashdex Crypto Index;HASH11;56.0;82.4;;4614.4;0.0155568969957599;0.0161869251538694;-0.0006300281581095
57;US;RV;ETFs;-;Vanguard Total World Stock;VT;0.0;695.5;122.72;0.0;0.0;0.0129495401230955;-0.0129495401230955
58;US;RV;ETFs;-;iShares SP 500;IVV;9.0;3305.75;583.28;29751.75;0.1003044621496722;0.0194243101846433;0.0808801519650289
59;US;RV;ETFs;-;Vanguard Total Stock Market;VTI;0.0;1620.8;286.11;0.0;0.0;0.0161869251538694;-0.0161869251538694
60;US;RV;ETFs;-;PowerShares QQQ Trust;QQQ;6.0;2890.45;510.0;17342.7;0.0584688361431889;0.0129495401230955;0.0455192960200933
61;US;RV;ETFs;-;ProShares Dividends;NOBL;0.0;565.8;99.84;0.0;0.0;0.0097121550923216;-0.0097121550923216
62;US;RV;ETFs;-;Schwab Dividend Equity;SCHD;0.0;148.5;26.2;0.0;0.0;0.011654586110786;-0.011654586110786
63;US;RV;ETFs;-;Vanguard Real Estate;VNQ;11.0;495.2;87.38;5447.2;0.0183645824622701;0.0103596320984764;0.0080049503637937
64;US;RV;ETFs;-;iShares SP 500 Small Caps;IJS;0.0;540.3;95.33;0.0;0.0;0.0110071091046312;-0.0110071091046312
65;US;RV;ETFs;-;Vanguard Emerging Markets;VWO;0.0;275.4;48.59;0.0;0.0;0.0142444941354051;-0.0142444941354051
66;US;RV;ETFs;-;Vanguard Value;VTV;0.0;958.0342;169.04;0.0;0.0;0.004180364533951;-0.004180364533951
